9532,"קופת גמל למשרתי הקבע בצה""ל  - לגילאי 50 עד 60"
9533,"קופת גמל למשרתי הקבע בצה""ל - לגילאי 60 ומעלה"
9539,אינפיניטי גמל לפנסיה תקציבית
9545,"הפניקס השתלמות - מסלול פאסיבי - מדדי אג""ח"
9546,"הפניקס השתלמות - מסלול פאסיבי - מדדי אג""ח חו""ל"
9547,הפניקס השתלמות מסלול פאסיבי - מדדי מניות
9548,"הפניקס השתלמות - מסלול פאסיבי- מדדי מניות חו""ל"
9549,הפניקס השתלמות - מסלול מתמחה שקלי טווח קצר
9550,איילון תגמולים ואישית לפיצויים עד 50
9551,איילון תגמולים ואישית לפיצויים 60 ומעלה
9552,איילון אגוד תגמולים עד 50
9553,איילון אגוד תגמולים 60 ומעלה
9568,הראל השתלמות כללי פאסיבי
9625,תעשיה אוירית מסלול לבני 60 ומעלה
9651,כלל תמר עד 50
9652,כלל תמר 50-60
9653,כלל תמר 60 ומעלה
9662,"מנורה השתלמות אג""ח עד 20% מניות"
9676,אינטרגמל השתלמות מעורב מחקה מדדים
9677,אינטרגמל תגמולים מעורב מחקה מדדים
9730,אנליסט גמל - מסלול לבני 50 ומטה
9731,אנליסט גמל מסלול לבני 50-60
9732,אנליסט גמל מסלול לבני 60  ומעלה
9742,הראל גמל מסלול לגילאי 50 עד 60
9744,הראל גמל מסלול לגילאי  50 ומטה
9745,הראל גמל מסלול לגילאי 60 ומעלה
9755,אל על עד 50
9756,אל על 60 ומעלה
9779,מגדל לתגמולים ולפיצויים מסלול לבני 50 ומטה
9780,מגדל לתגמולים ולפיצויים מסלול לבני 50 עד 60
9781,מגדל לתגמולים ולפיצויים מסלול לבני 60 ומעלה
9783,"עוצ""מ - מסלול לבני 50 ומטה"
9784,"עוצ""מ - מסלול לבני 50 עד 60"
9785,"עוצ""מ - מסלול לבני 60 ומעלה"
9789,מור  מנורה מבטחים עד 50
9790,מור  מנורה מבטחים 50-60
9791,מור  מנורה מבטחים 60 ומעלה
9792,מנורה מבטחים תגמולים 50-60
9793,מנורה מבטחים תגמולים עד 50
9794,מנורה מבטחים תגמולים 60 ומעלה
9795,מנורה מבטחים תגמולים הלכה
9796,הילה עד 50
9797,הילה 50-60
9798,הילה 60 ומעלה
9799,רשף עד 50
9800,רשף 50-60
9801,רשף 60 ומעלה
9802,"אומגה קרן השתלמות אג""ח עד 15% מניות"
9803,"אומגה קרן השתלמות אג""ח עד 25% מניות"
9805,שובל עד 50
9806,שובל 50-60
9807,שובל 60 ומעלה
9808,אי.בי.אי. לתגמולים ופיצויים מסלול לבני 50 עד 60
9809,אי.בי.אי. לתגמולים ופיצויים מסלול לבני 50 ומטה
9810,אי.בי.אי. לתגמולים ופיצויים מסלול לבני 60 ומעלה
9817,תגמולים האוניברסיטה  50-60
9818,תגמולים האוניברסיטה  מניות
9819,"קופת גמל למשרתי הקבע בצה""ל עד 50"
9844,פסגות לעמיתי חבר עד 50
9845,פסגות לעמיתי חבר לבני 50-60
